,TOA5 idea concrete cr 1000,IDEA_Concrete_cell,CR1000,91194,CR1000.Std.32.03,CPU:Concrete_20190329.CR1,430,Hydro,,,,,
Rain_in_Tot,TIMESTAMP,CnoC_Level_Avg,CC_Level_Avg,CnoC_Stage_Avg,CC_Stage_Avg,CnoC_Flow_Avg,CC_Flow_Avg,CnoC_Sample_Pulses_Max,CC_Sample_Pulses_Max,CnoC_GoodSample_Max,CC_GoodSample_Max,,
In,TS,Ft,Ft,Ft,Ft,GPM,GPM,Pulses,Pulses,Samples,Samples,,
Tot,,Avg,Avg,Avg,Avg,Avg,Avg,Max,Max,Max,Max,,
0,9/1/2019 4:30,0.7707697,1.077564,-0.06751099,-0.01983078,0,0,17,1348,0,1,,
0,9/1/2019 4:35,0.7708871,1.07729,-0.06739351,-0.02010512,0,0,17,1348,0,1,,
0,9/1/2019 4:40,0.7708963,1.077366,-0.06738432,-0.02002894,0,0,17,1348,0,1,,
0,9/1/2019 4:45,0.7709285,1.077348,-0.06735214,-0.02004677,0,0,17,1348,0,1,,
0,9/1/2019 4:50,0.7707477,1.077368,-0.06753296,-0.0200272,0,0,17,1348,0,1,,
0,9/1/2019 4:55,0.7708563,1.077347,-0.06742427,-0.02004809,0,0,17,1348,0,1,,
0,9/1/2019 5:00,0.7709982,1.07724,-0.06728236,-0.0201548,0,0,17,1348,0,1,,
0,9/1/2019 5:05,0.7709838,1.077355,-0.06729688,-0.0200394,0,0,17,1348,0,1,,
0,9/1/2019 5:10,0.7710858,1.077297,-0.06719484,-0.02009742,0,0,17,1348,0,1,,
0,9/1/2019 5:15,0.7708309,1.077338,-0.06744973,-0.02005727,0,0,17,1348,0,1,,
0,9/1/2019 5:20,0.7709703,1.077366,-0.06731037,-0.02002913,0,0,17,1348,0,1,,
0,9/1/2019 5:25,0.7708997,1.077353,-0.06738093,-0.02004138,0,0,17,1348,0,1,,
0,9/1/2019 5:30,0.7709943,1.077297,-0.06728633,-0.02009779,0,0,17,1348,0,1,,
0,9/1/2019 5:35,0.7709408,1.077269,-0.06733987,-0.02012583,0,0,17,1348,0,1,,
0,9/1/2019 5:40,0.7708861,1.077426,-0.06739462,-0.01996849,0,0,17,1348,0,1,,
0,9/1/2019 5:45,0.7708905,1.077271,-0.06739009,-0.02012368,0,0,17,1348,0,1,,
0,9/1/2019 5:50,0.770951,1.077373,-0.06732968,-0.02002134,0,0,17,1348,0,1,,
0,9/1/2019 5:55,0.7708805,1.077328,-0.06740012,-0.0200668,0,0,17,1348,0,1,,
0,9/1/2019 6:00,0.7708644,1.077424,-0.06741626,-0.01997044,0,0,17,1348,0,1,,
0,9/1/2019 6:05,0.770879,1.077292,-0.06740163,-0.02010233,0,0,17,1348,0,1,,
0,9/1/2019 6:10,0.7710126,1.077398,-0.06726799,-0.01999661,0,0,17,1348,0,1,,
0,9/1/2019 6:15,0.7708874,1.077433,-0.06739321,-0.01996204,0,0,17,1348,0,1,,
0,9/1/2019 6:20,0.7710035,1.07732,-0.06727715,-0.02007424,0,0,17,1348,0,1,,
0,9/1/2019 6:25,0.7708635,1.077314,-0.06741709,-0.02008132,0,0,17,1348,0,1,,
0,9/1/2019 6:30,0.7710726,1.077351,-0.06720801,-0.02004409,0,0,17,1348,0,1,,
0,9/1/2019 6:35,0.7709216,1.077292,-0.06735907,-0.02010295,0,0,17,1348,0,1,,
0,9/1/2019 6:40,0.7707657,1.07726,-0.0675149,-0.02013463,0,0,17,1348,0,1,,
0,9/1/2019 6:45,0.7708616,1.07742,-0.06741903,-0.0199752,0,0,17,1348,0,1,,
0,9/1/2019 6:50,0.7710435,1.077316,-0.06723713,-0.02007834,0,0,17,1348,0,1,,
0,9/1/2019 6:55,0.7709715,1.077324,-0.06730917,-0.02007045,0,0,17,1348,0,1,,
0,9/1/2019 7:00,0.770878,1.077256,-0.06740263,-0.02013883,0,0,17,1348,0,1,,
0,9/1/2019 7:05,0.7709537,1.077451,-0.06732696,-0.01994382,0,0,17,1348,0,1,,
0,9/1/2019 7:10,0.7709494,1.077379,-0.06733122,-0.02001582,0,0,17,1348,0,1,,
0,9/1/2019 7:15,0.7709496,1.077317,-0.06733099,-0.0200779,0,0,17,1348,0,1,,
0,9/1/2019 7:20,0.7708871,1.077319,-0.06739359,-0.02007585,0,0,17,1348,0,1,,
0,9/1/2019 7:25,0.770933,1.077415,-0.06734765,-0.01997954,0,0,17,1348,0,1,,
0,9/1/2019 7:30,0.7708224,1.077307,-0.06745823,-0.02008772,0,0,17,1348,0,1,,
0,9/1/2019 7:35,0.7709148,1.077404,-0.06736586,-0.01999089,0,0,17,1348,0,1,,
0,9/1/2019 7:40,0.771154,1.077342,-0.0671266,-0.0200528,0,0,17,1348,0,1,,
0,9/1/2019 7:45,0.7709363,1.077417,-0.0673443,-0.01997737,0,0,17,1348,0,1,,
0,9/1/2019 7:50,0.7708254,1.077454,-0.06745524,-0.0199409,0,0,17,1348,0,1,,
0,9/1/2019 7:55,0.770875,1.077363,-0.06740566,-0.02003218,0,0,17,1348,0,1,,
0,9/1/2019 8:00,0.7709287,1.077326,-0.06735185,-0.02006873,0,0,17,1348,0,1,,
0,9/1/2019 8:05,0.7708908,1.077245,-0.06738992,-0.02014946,0,0,17,1348,0,1,,
0,9/1/2019 8:10,0.7709021,1.077422,-0.06737854,-0.01997249,0,0,17,1348,0,1,,
0,9/1/2019 8:15,0.7708386,1.077235,-0.06744204,-0.0201602,0,0,17,1348,0,1,,
0,9/1/2019 8:20,0.7708399,1.077358,-0.06744067,-0.02003653,0,0,17,1348,0,1,,
0,9/1/2019 8:25,0.7709513,1.077392,-0.06732934,-0.02000272,0,0,17,1348,0,1,,
0,9/1/2019 8:30,0.7708877,1.07736,-0.06739288,-0.02003463,0,0,17,1348,0,1,,
0,9/1/2019 8:35,0.7709835,1.077299,-0.06729721,-0.0200961,0,0,17,1348,0,1,,
0,9/1/2019 8:40,0.7709541,1.077203,-0.06732658,-0.02019178,0,0,17,1348,0,1,,
0,9/1/2019 8:45,0.7709677,1.077433,-0.06731293,-0.01996175,0,0,17,1348,0,1,,
0,9/1/2019 8:50,0.7711045,1.077311,-0.06717622,-0.02008352,0,0,17,1348,0,1,,
0,9/1/2019 8:55,0.7709583,1.077412,-0.06732231,-0.01998225,0,0,17,1348,0,1,,
0,9/1/2019 9:00,0.7708802,1.077226,-0.06740045,-0.02016894,0,0,17,1348,0,1,,
0,9/1/2019 9:05,0.7707781,1.077214,-0.06750258,-0.02018126,0,0,17,1348,0,1,,
0,9/1/2019 9:10,0.7709464,1.07737,-0.06733429,-0.02002488,0,0,17,1348,0,1,,
0,9/1/2019 9:15,0.7709913,1.0773,-0.06728935,-0.02009509,0,0,17,1348,0,1,,
0,9/1/2019 9:20,0.7709163,1.077363,-0.06736427,-0.02003199,0,0,17,1348,0,1,,
0,9/1/2019 9:25,0.77087,1.077392,-0.06741066,-0.02000322,0,0,17,1348,0,1,,
0,9/1/2019 9:30,0.7708369,1.077327,-0.06744375,-0.02006751,0,0,17,1348,0,1,,
0,9/1/2019 9:35,0.7709395,1.077296,-0.0673412,-0.02009849,0,0,17,1348,0,1,,
0,9/1/2019 9:40,0.7708908,1.077224,-0.06738988,-0.02017034,0,0,17,1348,0,1,,
0,9/1/2019 9:45,0.7708722,1.077251,-0.06740846,-0.02014391,0,0,17,1348,0,1,,
0,9/1/2019 9:50,0.7708346,1.077154,-0.06744608,-0.02024059,0,0,17,1348,0,1,,
0,9/1/2019 9:55,0.7709218,1.077378,-0.06735878,-0.02001711,0,0,17,1348,0,1,,
0,9/1/2019 10:00,0.7709743,1.077255,-0.06730627,-0.02014033,0,0,17,1348,0,1,,
0,9/1/2019 10:05,0.770835,1.077303,-0.06744561,-0.02009212,0,0,17,1348,0,1,,
0,9/1/2019 10:10,0.7709161,1.077421,-0.06736454,-0.01997402,0,0,17,1348,0,1,,
0,9/1/2019 10:15,0.7708046,1.077349,-0.06747601,-0.02004527,0,0,17,1348,0,1,,
0,9/1/2019 10:20,0.7708572,1.077316,-0.0674234,-0.02007912,0,0,17,1348,0,1,,
0,9/1/2019 10:25,0.7708629,1.077295,-0.06741774,-0.02010017,0,0,17,1348,0,1,,
0,9/1/2019 10:30,0.7708306,1.077415,-0.06745003,-0.01997973,0,0,17,1348,0,1,,
0,9/1/2019 10:35,0.7708479,1.077301,-0.06743284,-0.02009348,0,0,17,1348,0,1,,
0,9/1/2019 10:40,0.7706841,1.077302,-0.06759655,-0.02009268,0,0,17,1348,0,1,,
0,9/1/2019 10:45,0.7709398,1.077171,-0.06734087,-0.02022395,0,0,17,1348,0,1,,
0,9/1/2019 10:50,0.7709923,1.07718,-0.06728829,-0.02021453,0,0,17,1348,0,1,,
0,9/1/2019 10:55,0.7708755,1.077361,-0.06740515,-0.02003423,0,0,17,1348,0,1,,
0,9/1/2019 11:00,0.7707368,1.077168,-0.06754387,-0.020227,0,0,17,1348,0,1,,
0,9/1/2019 11:05,0.7707005,1.077361,-0.06758013,-0.02003417,0,0,17,1348,0,1,,
0,9/1/2019 11:10,0.7708921,1.077286,-0.06738854,-0.02010902,0,0,17,1348,0,1,,
0,9/1/2019 11:15,0.7709855,1.077301,-0.06729516,-0.02009394,0,0,17,1348,0,1,,
0,9/1/2019 11:20,0.7708079,1.077258,-0.06747283,-0.02013652,0,0,17,1348,0,1,,
0,9/1/2019 11:25,0.7708942,1.077234,-0.06738646,-0.02016035,0,0,17,1348,0,1,,
0,9/1/2019 11:30,0.7708562,1.077276,-0.06742445,-0.02011889,0,0,17,1348,0,1,,
0,9/1/2019 11:35,0.7708051,1.077251,-0.06747558,-0.02014375,0,0,17,1348,0,1,,
0,9/1/2019 11:40,0.7709026,1.07716,-0.06737799,-0.02023445,0,0,17,1348,0,1,,
0,9/1/2019 11:45,0.7708147,1.077103,-0.06746592,-0.02029147,0,0,17,1348,0,1,,
0,9/1/2019 11:50,0.7710408,1.077328,-0.06723987,-0.02006665,0,0,17,1348,0,1,,
0,9/1/2019 11:55,0.7709252,1.07722,-0.06735552,-0.02017479,0,0,17,1348,0,1,,
0,9/1/2019 12:00,0.771013,1.077253,-0.06726767,-0.02014171,0,0,17,1348,0,1,,
0,9/1/2019 12:05,0.7707489,1.077193,-0.06753182,-0.0202013,0,0,17,1348,0,1,,
0,9/1/2019 12:10,0.7707505,1.077111,-0.06753016,-0.02028419,0,0,17,1348,0,1,,
0,9/1/2019 12:15,0.7707852,1.07708,-0.0674955,-0.02031506,0,0,17,1348,0,1,,
0,9/1/2019 12:20,0.7708277,1.077059,-0.06745294,-0.02033537,0,0,17,1348,0,1,,
0,9/1/2019 12:25,0.7706605,1.077207,-0.06762014,-0.0201875,0,0,17,1348,0,1,,
0,9/1/2019 12:30,0.7707422,1.07725,-0.06753851,-0.02014453,0,0,17,1348,0,1,,
0,9/1/2019 12:35,0.7707884,1.077134,-0.06749226,-0.02026118,0,0,17,1348,0,1,,
0,9/1/2019 12:40,0.7705871,1.077043,-0.06769355,-0.02035168,0,0,17,1348,0,1,,
0,9/1/2019 12:45,0.7706268,1.077002,-0.06765386,-0.0203927,0,0,17,1348,0,1,,
0,9/1/2019 12:50,0.7709829,1.077191,-0.06729774,-0.02020329,0,0,17,1348,0,1,,
0,9/1/2019 12:55,0.7707332,1.077086,-0.0675474,-0.02030849,0,0,17,1348,0,1,,
0,9/1/2019 13:00,0.7708451,1.077077,-0.06743554,-0.0203182,0,0,17,1348,0,1,,
0,9/1/2019 13:05,0.7707859,1.077115,-0.06749479,-0.02027987,0,0,17,1348,0,1,,
0,9/1/2019 13:10,0.7706356,1.07707,-0.06764507,-0.02032454,0,0,17,1348,0,1,,
0,9/1/2019 13:15,0.7707964,1.077034,-0.06748434,-0.02036092,0,0,17,1348,0,1,,
0,9/1/2019 13:20,0.770655,1.076993,-0.06762565,-0.02040208,0,0,17,1348,0,1,,
0,9/1/2019 13:25,0.7705627,1.077004,-0.06771793,-0.02039113,0,0,17,1348,0,1,,
0,9/1/2019 13:30,0.7706251,1.077098,-0.06765559,-0.02029651,0,0,17,1348,0,1,,
0,9/1/2019 13:35,0.7708193,1.077032,-0.06746139,-0.02036245,0,0,17,1348,0,1,,
0,9/1/2019 13:40,0.7708063,1.077028,-0.0674744,-0.02036703,0,0,17,1348,0,1,,
0,9/1/2019 13:45,0.7707148,1.076996,-0.06756584,-0.02039838,0,0,17,1348,0,1,,
0,9/1/2019 13:50,0.7706266,1.076918,-0.06765407,-0.02047622,0,0,17,1348,0,1,,
0,9/1/2019 13:55,0.7705723,1.076833,-0.06770837,-0.02056218,0,0,17,1348,0,1,,
0,9/1/2019 14:00,0.7704516,1.077016,-0.06782906,-0.02037903,0,0,17,1348,0,1,,
0,9/1/2019 14:05,0.7707495,1.0771,-0.06753109,-0.02029517,0,0,17,1348,0,1,,
0,9/1/2019 14:10,0.770605,1.076951,-0.06767561,-0.02044356,0,0,17,1348,0,1,,
0,9/1/2019 14:15,0.7706814,1.077022,-0.06759928,-0.02037309,0,0,17,1348,0,1,,
0,9/1/2019 14:20,0.7708181,1.077038,-0.06746252,-0.02035704,0,0,17,1348,0,1,,
0,9/1/2019 14:25,0.7707201,1.077024,-0.06756054,-0.02037121,0,0,17,1348,0,1,,
0,9/1/2019 14:30,0.7707698,1.077079,-0.06751082,-0.0203157,0,0,17,1348,0,1,,
0,9/1/2019 14:35,0.7705612,1.076997,-0.06771951,-0.02039765,0,0,17,1348,0,1,,
0,9/1/2019 14:40,0.7707521,1.077034,-0.0675285,-0.02036085,0,0,17,1348,0,1,,
0,9/1/2019 14:45,0.7706735,1.07691,-0.06760719,-0.02048482,0,0,17,1348,0,1,,
0,9/1/2019 14:50,0.7704754,1.077047,-0.06780524,-0.02034775,0,0,17,1348,0,1,,
0,9/1/2019 14:55,0.7705235,1.077008,-0.06775714,-0.02038713,0,0,17,1348,0,1,,
0,9/1/2019 15:00,0.7705723,1.076933,-0.06770837,-0.02046222,0,0,17,1348,0,1,,
0,9/1/2019 15:05,0.7705984,1.076992,-0.06768224,-0.02040308,0,0,17,1348,0,1,,
0,9/1/2019 15:10,0.7706749,1.076996,-0.06760569,-0.02039824,0,0,17,1348,0,1,,
0,9/1/2019 15:15,0.7706157,1.077017,-0.06766491,-0.02037803,0,0,17,1348,0,1,,
0,9/1/2019 15:20,0.770605,1.076963,-0.06767562,-0.02043143,0,0,17,1348,0,1,,
0,9/1/2019 15:25,0.7705268,1.077042,-0.0677539,-0.0203533,0,0,17,1348,0,1,,
0,9/1/2019 15:30,0.7704227,1.077139,-0.06785798,-0.02025616,0,0,17,1348,0,1,,
0,9/1/2019 15:35,0.7705244,1.077089,-0.06775626,-0.02030599,0,0,17,1348,0,1,,
0,9/1/2019 15:40,0.7705895,1.076977,-0.06769116,-0.02041801,0,0,17,1348,0,1,,
0,9/1/2019 15:45,0.7704208,1.076963,-0.06785987,-0.02043131,0,0,17,1348,0,1,,
0,9/1/2019 15:50,0.7705335,1.077052,-0.06774712,-0.02034234,0,0,17,1348,0,1,,
0,9/1/2019 15:55,0.7706712,1.077099,-0.06760938,-0.02029578,0,0,17,1348,0,1,,
0,9/1/2019 16:00,0.7706881,1.07706,-0.06759258,-0.02033502,0,0,17,1348,0,1,,
0,9/1/2019 16:05,0.7704605,1.077108,-0.06782006,-0.02028662,0,0,17,1348,0,1,,
0,9/1/2019 16:10,0.770587,1.077069,-0.06769363,-0.02032615,0,0,17,1348,0,1,,
0,9/1/2019 16:15,0.7706965,1.077084,-0.06758417,-0.02031099,0,0,17,1348,0,1,,
0,9/1/2019 16:20,0.7705396,1.077042,-0.06774095,-0.02035267,0,0,17,1348,0,1,,
0,9/1/2019 16:25,0.770628,1.077084,-0.06765269,-0.02031096,0,0,17,1348,0,1,,
0,9/1/2019 16:30,0.770513,1.076979,-0.06776761,-0.02041546,0,0,17,1348,0,1,,
0,9/1/2019 16:35,0.7704735,1.077039,-0.0678071,-0.02035607,0,0,17,1348,0,1,,
0,9/1/2019 16:40,0.7704912,1.077009,-0.06778946,-0.02038559,0,0,17,1348,0,1,,
0,9/1/2019 16:45,0.7705621,1.076956,-0.06771851,-0.02043894,0,0,17,1348,0,1,,
0,9/1/2019 16:50,0.770449,1.077076,-0.06783161,-0.02031923,0,0,17,1348,0,1,,
0,9/1/2019 16:55,0.7706301,1.077189,-0.06765053,-0.02020608,0,0,17,1348,0,1,,
0,9/1/2019 17:00,0.7704985,1.077133,-0.0677822,-0.02026182,0,0,17,1348,0,1,,
0,9/1/2019 17:05,0.7706454,1.077098,-0.06763516,-0.02029658,0,0,17,1348,0,1,,
0,9/1/2019 17:10,0.7705778,1.077158,-0.06770278,-0.02023623,0,0,17,1348,0,1,,
0,9/1/2019 17:15,0.7704957,1.07713,-0.06778499,-0.02026504,0,0,17,1348,0,1,,
0,9/1/2019 17:20,0.7704936,1.077041,-0.06778704,-0.02035375,0,0,17,1348,0,1,,
0,9/1/2019 17:25,0.7705597,1.077183,-0.06772098,-0.02021161,0,0,17,1348,0,1,,
0,9/1/2019 17:30,0.7704925,1.077209,-0.06778818,-0.02018609,0,0,17,1348,0,1,,
0,9/1/2019 17:35,0.7706016,1.076997,-0.067679,-0.02039752,0,0,17,1348,0,1,,
0,9/1/2019 17:40,0.7706551,1.077176,-0.06762553,-0.02021861,0,0,17,1348,0,1,,
0,9/1/2019 17:45,0.7704417,1.077206,-0.067839,-0.02018888,0,0,17,1348,0,1,,
0,9/1/2019 17:50,0.7706512,1.077144,-0.06762947,-0.02025093,0,0,17,1348,0,1,,
0,9/1/2019 17:55,0.7703889,1.077173,-0.06789172,-0.02022179,0,0,17,1348,0,1,,
0,9/1/2019 18:00,0.7705762,1.077086,-0.06770445,-0.02030847,0,0,17,1348,0,1,,
0,9/1/2019 18:05,0.7705275,1.077096,-0.06775313,-0.02029835,0,0,17,1348,0,1,,
0,9/1/2019 18:10,0.7704793,1.077187,-0.06780141,-0.02020816,0,0,17,1348,0,1,,
0,9/1/2019 18:15,0.7704421,1.077066,-0.06783853,-0.02032926,0,0,17,1348,0,1,,
0,9/1/2019 18:20,0.7707266,1.077055,-0.06755408,-0.02034023,0,0,17,1348,0,1,,
0,9/1/2019 18:25,0.7705017,1.077155,-0.06777898,-0.02023981,0,0,17,1348,0,1,,
0,9/1/2019 18:30,0.7705318,1.077032,-0.06774879,-0.02036224,0,0,17,1348,0,1,,
0,9/1/2019 18:35,0.7704032,1.0772,-0.06787744,-0.0201947,0,0,17,1348,0,1,,
0,9/1/2019 18:40,0.7706305,1.077102,-0.06765009,-0.02029232,0,0,17,1348,0,1,,
0,9/1/2019 18:45,0.7706036,1.077014,-0.067677,-0.02038096,0,0,17,1348,0,1,,
0,9/1/2019 18:50,0.7705082,1.077005,-0.06777247,-0.02038941,0,0,17,1348,0,1,,
0,9/1/2019 18:55,0.7705425,1.076951,-0.0677381,-0.02044353,0,0,17,1348,0,1,,
0,9/1/2019 19:00,0.7707435,1.0771,-0.06753714,-0.02029512,0,0,17,1348,0,1,,
0,9/1/2019 19:05,0.7704586,1.077126,-0.06782202,-0.02026868,0,0,17,1348,0,1,,
0,9/1/2019 19:10,0.770583,1.07708,-0.06769764,-0.02031452,0,0,17,1348,0,1,,
0,9/1/2019 19:15,0.7705303,1.077036,-0.06775037,-0.02035838,0,0,17,1348,0,1,,
0,9/1/2019 19:20,0.7706408,1.077152,-0.06763985,-0.02024265,0,0,17,1348,0,1,,
